CNT,CNTSCHID,REGION,STRATUM,LOC,COMP,SCSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,STUBI,TEABI,RESSI,STAFI,total_homework_time,CPERIODS,SCIENCE,READING,MATH,mean_reading_attitude,mean_science_attitude,mean_math_attitude
CZE,20300001,20300,CZE26,1,2,787,205,582,16.5684,47.5,1.2,2.4,2.75,2.25,2.3684210526315788,32.578947368421055,608.3808157894737,592.0662,601.2534684210526,2.807017543859649,2.789473684210526,2.912280701754386
CZE,20300002,20300,CZE04,1,1,902,464,438,16.5505,54.5,2.2,2.4,2,2.25,2.2222222222222223,29.583333333333332,475.7949277777778,472.84408333333334,464.60703333333333,2.685185185185185,2.962962962962963,2.2685185185185186
CZE,20300003,20300,CZE17,1,1,621,257,364,12.5455,49.5,1.6,2.8,3,1,2.2413793103448274,31.689655172413794,605.9759034482759,600.164575862069,596.9372275862069,2.9195402298850577,2.6436781609195403,2.8850574712643677
CZE,20300004,20300,CZE30,0,1,306,29,277,11.5472,26.5,1.6,2,3.25,1.75,2.2857142857142856,33.333333333333336,566.0972380952381,542.9457333333334,524.017919047619,2.4126984126984126,2.4285714285714284,2.238095238095238
CZE,20300005,20300,CZE11,1,1,564,297,267,17.625,32,2,1.8,3.25,2.25,2.1,30.7,461.287645,453.85733,457.446805,2.45,3.033333333333333,2.5
CZE,20300006,20300,CZE07,0,3,170,100,70,12.1429,14,2,2.2,2.75,2.75,2.1818181818181817,31,487.10283636363636,461.90644545454546,473.1659090909091,2.484848484848485,3,3.090909090909091
CZE,20300007,20300,CZE06,1,3,581,326,255,15.7027,37,2.2,1.8,2,1.5,2.2,30.95,460.52029,454.25681000000003,436.055665,2.6166666666666667,2.3333333333333335,2.466666666666667
CZE,20300008,20300,CZE16,1,2,557,223,334,10.3148,54,1.8,1.8,2.5,2,2.066666666666667,32.06666666666667,600.6794533333333,568.3383333333334,572.7120266666667,2.9333333333333336,3.0444444444444443,2.5555555555555554
CZE,20300009,20300,CZE24,0,1,398,158,240,12.0606,33,1.6,2.8,1.75,1.25,1.9130434782608696,32.52173913043478,601.0651826086956,562.2356565217391,587.6141304347826,2.608695652173913,2.898550724637681,2.5652173913043477
CZE,20300010,20300,CZE26,1,1,955,369,586,11.7178,81.5,2,2.6,3.25,3,1.84375,33,637.518009375,607.376603125,616.83955,2.7708333333333335,2.7916666666666665,2.7083333333333335
CZE,20300011,20300,CZE30,1,1,591,205,386,9.6098,61.5,1,1,2,1.25,1.6666666666666667,30.333333333333332,449.6046666666667,454.9274,404.4853166666667,2.166666666666667,2.055555555555556,1.9444444444444446
CZE,20300012,20300,CZE05,1,3,619,284,335,16.2895,38,1.4,1.6,1.5,1.5,2.3181818181818183,29.954545454545453,533.9172136363636,513.1145409090909,523.62095,2.696969696969697,2.5757575757575757,2.606060606060606
CZE,20300013,20300,CZE14,1,1,623,304,319,15.012,41.5,1.8,1.8,1.75,1,2.1538461538461537,25.846153846153847,452.75715384615387,446.21345384615387,452.50394615384613,2.7435897435897436,2.7948717948717947,2.5128205128205128
CZE,20300014,20300,CZE11,0,3,278,129,149,14.2564,19.5,1.8,2.8,2.5,2.75,2.1,25.5,473.59226,461.95775,466.69718,2.7333333333333334,2.533333333333333,2.3666666666666667
