CNT,CNTSCHID,REGION,STRATUM,SC001Q01TA,SC011Q01TA,SCHSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,student_behavior_issue_mean,teacher_behavior_issue_mean,resources_issue_mean,staff_issues_mean,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA
CZE,20300001,20300,CZE26,3,2,787,205,582,16.5684,47.5,1.2,2.4,2.75,2.25,1,2,1,1,1,2,3,2,3,2,2,2,3,2,3,3,3,2
CZE,20300002,20300,CZE04,4,1,902,464,438,16.5505,54.5,2.2,2.4,2,2.25,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2
CZE,20300003,20300,CZE17,3,1,621,257,364,12.5455,49.5,1.6,2.8,3,1,1,2,2,1,2,3,1,4,4,2,1,1,1,1,3,3,3,3
CZE,20300004,20300,CZE30,2,1,306,29,277,11.5472,26.5,1.6,2,3.25,1.75,2,3,1,1,1,2,3,2,2,1,1,3,2,1,3,4,4,2
CZE,20300005,20300,CZE11,3,1,564,297,267,17.625,32,2,1.8,3.25,2.25,2,3,2,1,2,1,3,1,2,2,3,3,2,1,4,3,3,3
CZE,20300006,20300,CZE07,1,3,170,100,70,12.1429,14,2,2.2,2.75,2.75,2,3,1,1,3,2,3,2,2,2,3,3,3,2,2,2,4,3
CZE,20300007,20300,CZE06,3,3,581,326,255,15.7027,37,2.2,1.8,2,1.5,3,3,2,1,2,2,3,1,2,1,2,1,2,1,1,1,4,2
CZE,20300008,20300,CZE16,3,2,557,223,334,10.3148,54,1.8,1.8,2.5,2,1,3,2,1,2,1,3,2,2,1,2,1,3,2,2,3,3,2
CZE,20300009,20300,CZE24,2,1,398,158,240,12.0606,33,1.6,2.8,1.75,1.25,1,2,2,1,2,2,2,4,4,2,1,2,1,1,1,2,2,2
CZE,20300010,20300,CZE26,4,1,955,369,586,11.7178,81.5,2,2.6,3.25,3,2,2,2,2,2,3,3,3,2,2,2,2,4,4,3,3,3,4
CZE,20300011,20300,CZE30,3,1,591,205,386,9.6098,61.5,1,1,2,1.25,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3
CZE,20300012,20300,CZE05,3,3,619,284,335,16.2895,38,1.4,1.6,1.5,1.5,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,3,1
CZE,20300013,20300,CZE14,3,1,623,304,319,15.012,41.5,1.8,1.8,1.75,1,2,3,1,2,1,2,3,1,2,1,1,1,1,1,2,2,2,1
CZE,20300014,20300,CZE11,1,3,278,129,149,14.2564,19.5,1.8,2.8,2.5,2.75,2,2,2,1,2,3,3,3,3,2,3,2,3,3,2,2,3,3
CZE,20300015,20300,CZE21,2,3,212,76,136,11.1579,19,1.4,1.2,2.25,1.75,1,2,1,1,2,2,1,1,1,1,3,2,1,1,2,1,3,3
CZE,20300016,20300,CZE14,1,1,151,70,81,10.7857,14,1.8,2.2,1.75,1.5,2,3,1,1,2,2,2,3,2,2,1,2,2,1,1,1,3,2
